Ca,Tr,Ca0,Q
2.185044141,325.3277754,5.398905299,77.64294664
2.168154567,337.7450641,0.660531647,21.57301787
2.165464484,337.7349507,0.511495209,4.297948095
2.190381459,337.0553171,4.978566233,134.8956782
2.291623038,356.1812545,2.313683175,84.0269193
2.219078112,367.7148558,6.593381609,117.4304577
2.433550995,386.0455603,0.515499488,-8.475452968
2.340631279,383.1884906,7.370281163,-28.07089005
2.503652704,377.2326337,6.196127343,12.9045838
2.543156811,379.0756392,5.89597861,-4.185812838
2.584008614,376.3446173,0.703780946,-114.8539846
2.574733641,357.6218092,1.280176687,-69.09858561
2.562232889,345.8069557,7.254407048,36.60168424
2.607984813,350.1046046,6.216621418,18.35611149
2.924505439,350.1079546,4.947493439,86.63956004
2.903428611,363.540232,6.986778307,114.6185546
3.071892084,381.4692279,6.273675043,-112.7214723
3.205311746,363.8305022,3.027338929,-129.0252793
3.073368322,341.7254103,4.32450844,82.26187349
3.198625739,354.0042406,0.857999622,-86.48119142
2.959319469,339.7631905,3.058344375,-71.03032042
3.13063781,325.8659567,6.06561231,-41.08474335
3.272986889,318.6611463,4.972143774,-1.829152397
3.232719456,318.1078381,4.584498206,122.0276075
3.336142139,336.2228095,7.104780574,-107.8632233
3.603117935,319.4955252,6.404884763,-42.76996127
3.673631844,312.8419505,1.20579091,-32.38637313
3.553752485,307.1788464,4.072483581,128.0841997
3.66086504,326.4558742,3.100588307,-135.4529521
3.514114096,303.8064929,6.517948209,-108.0248004
3.618551396,288.6228253,3.848373308,97.21668344
3.700904748,303.3478699,4.103165769,-14.8311601
3.630166669,301.4870425,6.103334945,-133.2246278
3.789862867,281.6777624,4.508330542,-24.61566425
3.902441038,277.4503165,7.395957584,83.72265403
4.097081066,291.3345032,0.877734715,-85.97840314
3.827161068,279.5103315,3.666931921,56.37280371
3.926765613,288.7818571,2.824337047,-38.89356001
3.882100415,283.6502489,6.950293962,126.0084839
4.046487848,303.5676377,3.353800101,110.7142185
4.058433584,321.704058,2.811772764,-115.9059623
3.94488947,302.0956354,4.187022958,44.67900106
3.968577036,309.8181266,6.75089006,129.2104401
4.025440684,328.8393837,5.889528738,71.97198306
4.220198341,339.9338209,5.470343331,55.98690242
4.249644966,348.4734811,5.871319668,131.7637547
4.190429351,368.8786688,3.116001622,-115.8182195
4.010308402,352.8879055,2.177483077,-77.36590618
4.035956075,338.5288934,3.045198578,86.1984047
3.792411753,352.1482176,0.920673189,-13.96012392
3.687376025,350.2458074,6.192193692,-65.48934564
3.72549034,338.9325773,0.943806874,-71.63676344
3.561563094,325.7227698,1.095493232,85.49373888
